subject,s-tag,s-ner,s-type,verb,v-tag,v-cat,v-extractUseCase,object,o-tag,o-ner,o-type,label
'potential user',NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,'online account identified by email address',NN,O,NOUN_COMMUNICATION,1
'potential user',NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,'account identified by email address',NN,O,NOUN_COMMUNICATION,1
'potential user',NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,'account identified by valid email address',NN,O,NOUN_COMMUNICATION,1
'potential user',NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,'online account identified',VBN,O,OTHER,1
'potential user',NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,'account identified',VBN,O,NOUN_STATE,1
'potential user',NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,account,NN,O,NOUN_STATE,1
'potential user',NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,'online account',NN,O,NOUN_STATE,1
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,'potential user',NN,O,NOUN_PERSON,0
'potential user',NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,'online account identified by valid email address',NN,O,NOUN_COMMUNICATION,1
user,NN,PERSON,NOUN_PERSON,specify,VB,TV,TRUE,'account type',NN,O,NOUN_PERSON,1
system,NN,O,NOUN_GROUP,require,VBP,TV,TRUE,user,NN,O,NOUN_PERSON,0
'different type',NN,PERSON,NOUN_PERSON,have,VBP,POSSESSION,FALSE,privileges,NNS,O,OTHER,0
type,NN,PERSON,NOUN_PERSON,have,VBP,POSSESSION,FALSE,'different privileges',NNS,O,OTHER,0
'different type',NN,PERSON,NOUN_PERSON,have,VBP,POSSESSION,FALSE,'different privileges',NNS,O,OTHER,0
type,NN,PERSON,NOUN_PERSON,have,VBP,POSSESSION,FALSE,privileges,NNS,O,OTHER,0
system,NN,O,NOUN_GROUP,'send password to',VB,TV,FALSE,'email address',NN,O,NOUN_COMMUNICATION,0
system,NN,O,NOUN_GROUP,send,VB,TV,FALSE,'temporary password',NN,O,NOUN_COMMUNICATION,0
system,NN,O,NOUN_GROUP,send,VB,TV,FALSE,password,NN,O,NOUN_COMMUNICATION,0
password,NN,O,NOUN_COMMUNICATION,'comply to',VB,TV,FALSE,'commonly adopted password security rules',NNS,O,OTHER,0
password,NN,O,NOUN_COMMUNICATION,'comply to',VB,TV,FALSE,'adopted password security rules',NNS,O,OTHER,0
'temporary password',NN,O,NOUN_COMMUNICATION,'comply to',VB,TV,FALSE,'commonly adopted password security rules',NNS,O,OTHER,0
'temporary password',NN,O,NOUN_COMMUNICATION,'comply to',VB,TV,FALSE,'password security rules',NNS,O,NOUN_COMMUNICATION,0
'temporary password',NN,O,NOUN_COMMUNICATION,'comply to',VB,TV,FALSE,'adopted password security rules',NNS,O,OTHER,0
password,NN,O,NOUN_COMMUNICATION,'comply to',VB,TV,FALSE,'password security rules',NNS,O,NOUN_COMMUNICATION,0
user,NN,PERSON,NOUN_PERSON,change,VB,TV,FALSE,'temporary password',NN,O,NOUN_COMMUNICATION,1
user,NN,PERSON,NOUN_PERSON,change,VB,TV,FALSE,password,NN,O,NOUN_COMMUNICATION,1
user,NN,PERSON,NOUN_PERSON,'change password at',VB,TV,FALSE,login,NN,O,OTHER,1
system,NN,O,NOUN_GROUP,require,VBP,TV,TRUE,user,NN,O,NOUN_PERSON,0
user,NN,PERSON,NOUN_PERSON,'change password at',VB,TV,FALSE,'first login',NN,O,NOUN_RELATION,1
'new password',NN,O,NOUN_COMMUNICATION,'comply to',VB,TV,FALSE,'commonly adopted password security rules',NNS,O,OTHER,0
password,NN,O,NOUN_COMMUNICATION,'comply to',VB,TV,FALSE,'commonly adopted password security rules',NNS,O,OTHER,0
password,NN,O,NOUN_COMMUNICATION,'comply to',VB,TV,FALSE,'adopted password security rules',NNS,O,OTHER,0
'new password',NN,O,NOUN_COMMUNICATION,'comply to',VB,TV,FALSE,'password security rules',NNS,O,NOUN_COMMUNICATION,0
'new password',NN,O,NOUN_COMMUNICATION,'comply to',VB,TV,FALSE,'adopted password security rules',NNS,O,OTHER,0
password,NN,O,NOUN_COMMUNICATION,'comply to',VB,TV,FALSE,'password security rules',NNS,O,NOUN_COMMUNICATION,0
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,'event organizer',NN,TITLE,NOUN_PERSON,0
'event proposal form',NN,O,NOUN_COMMUNICATION,'be with',VB,IS-A,FALSE,fields,NNS,O,NOUN_PERSON,0
'event organizer',NN,PERSON,NOUN_PERSON,submit,VBP,TV,TRUE,'event proposal',NN,O,NOUN_COMMUNICATION,1
system,NN,O,NOUN_GROUP,'change status from',VB,TV,FALSE,Submitted,VBN,O,OTHER,0
system,NN,O,NOUN_GROUP,'change status to',VB,TV,FALSE,'Pending Review',NN,O,NOUN_COGNITION,0
system,NN,O,NOUN_GROUP,change,VB,TV,FALSE,'status of event proposal',NN,O,NOUN_COMMUNICATION,0
system,NN,O,NOUN_GROUP,change,VB,TV,FALSE,status,NN,O,NOUN_STATE,0
proposal,NN,O,NOUN_COMMUNICATION,be,VB,IS-A,FALSE,review,NN,O,NOUN_COGNITION,0
system,NN,O,NOUN_GROUP,notify,VBP,TV,TRUE,'event organizer',NN,TITLE,NOUN_PERSON,0
payment,NN,O,NOUN_POSSESSION,be,VB,IS-A,FALSE,received,VBN,O,OTHER,0
proposal,NN,O,NOUN_COMMUNICATION,be,VB,IS-A,FALSE,'pending review',NN,O,NOUN_COGNITION,0
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,'event organizer',NN,TITLE,NOUN_PERSON,0
'event organizer',NN,PERSON,NOUN_PERSON,cancel,VB,TV,TRUE,'event with cancellation charge',NN,O,NOUN_PERSON,1
event,NN,O,NOUN_TOPS,'be with',VB,IS-A,FALSE,'15 \% cancellation charge',NN,O,NOUN_PERSON,0
'event organizer',NN,PERSON,NOUN_PERSON,cancel,VB,TV,TRUE,event,NN,O,NOUN_TOPS,1
