subject,s-tag,s-ner,s-type,verb,v-tag,v-cat,v-extractUseCase,object,o-tag,o-ner,o-type,label
potential user,NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,online account identified by email address,NN,O,NOUN_COMMUNICATION,NONE
potential user,NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,account identified by email address,NN,O,NOUN_COMMUNICATION,NONE
potential user,NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,account identified by valid email address,NN,O,NOUN_COMMUNICATION,NONE
potential user,NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,online account identified,VBN,O,OTHER,NONE
potential user,NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,account identified,VBN,O,NOUN_STATE,NONE
potential user,NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,account,NN,O,NOUN_STATE,NONE
potential user,NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,online account,NN,O,NOUN_STATE,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,potential user,NN,O,NOUN_PERSON,NONE
potential user,NN,PERSON,NOUN_PERSON,create,VB,TV,TRUE,online account identified by valid email address,NN,O,NOUN_COMMUNICATION,NONE
user,NN,PERSON,NOUN_PERSON,specify,VB,TV,TRUE,account type,NN,O,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,require,VBP,TV,TRUE,user,NN,O,NOUN_PERSON,NONE
different type,NN,PERSON,NOUN_PERSON,have,VBP,POSSESSION,FALSE,privileges,NNS,O,OTHER,NONE
type,NN,PERSON,NOUN_PERSON,have,VBP,POSSESSION,FALSE,different privileges,NNS,O,OTHER,NONE
different type,NN,PERSON,NOUN_PERSON,have,VBP,POSSESSION,FALSE,different privileges,NNS,O,OTHER,NONE
type,NN,PERSON,NOUN_PERSON,have,VBP,POSSESSION,FALSE,privileges,NNS,O,OTHER,NONE
system,NN,O,NOUN_GROUP,send password to,VB,TV,FALSE,email address,NN,O,NOUN_COMMUNICATION,NONE
system,NN,O,NOUN_GROUP,send,VB,TV,FALSE,temporary password,NN,O,NOUN_COMMUNICATION,NONE
system,NN,O,NOUN_GROUP,send,VB,TV,FALSE,password,NN,O,NOUN_COMMUNICATION,NONE
password,NN,O,NOUN_COMMUNICATION,comply to,VB,TV,FALSE,commonly adopted password security rules,NNS,O,OTHER,NONE
password,NN,O,NOUN_COMMUNICATION,comply to,VB,TV,FALSE,adopted password security rules,NNS,O,OTHER,NONE
temporary password,NN,O,NOUN_COMMUNICATION,comply to,VB,TV,FALSE,commonly adopted password security rules,NNS,O,OTHER,NONE
temporary password,NN,O,NOUN_COMMUNICATION,comply to,VB,TV,FALSE,password security rules,NNS,O,NOUN_COMMUNICATION,NONE
temporary password,NN,O,NOUN_COMMUNICATION,comply to,VB,TV,FALSE,adopted password security rules,NNS,O,OTHER,NONE
password,NN,O,NOUN_COMMUNICATION,comply to,VB,TV,FALSE,password security rules,NNS,O,NOUN_COMMUNICATION,NONE
user,NN,PERSON,NOUN_PERSON,change,VB,TV,FALSE,temporary password,NN,O,NOUN_COMMUNICATION,NONE
user,NN,PERSON,NOUN_PERSON,change,VB,TV,FALSE,password,NN,O,NOUN_COMMUNICATION,NONE
user,NN,PERSON,NOUN_PERSON,change password at,VB,TV,FALSE,login,NN,O,OTHER,NONE
