requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,capability,NN,O,NOUN.ATTRIBUTE,0 
1,capability,NN,O,NOUN.ATTRIBUTE,restrict client to,TO,OTHER,FALSE,pre-determined set of services,NNS,O,NOUN.ACT,0 
1,capability,NN,O,NOUN.ATTRIBUTE,restrict client to,TO,OTHER,FALSE,set of services,NNS,O,NOUN.ACT,0 
1,capability,NN,O,NOUN.ATTRIBUTE,restrict,VB,TV,TRUE,authenticated client,NN,O,NOUN.PERSON,0 
1,capability,NN,O,NOUN.ATTRIBUTE,restrict client to,TO,OTHER,FALSE,pre-determined set,VB,O,NOUN.PERSON,0 
1,capability,NN,O,NOUN.ATTRIBUTE,restrict client to,TO,OTHER,FALSE,set,VB,O,NOUN.PERSON,0 
1,capability,NN,O,NOUN.ATTRIBUTE,restrict,VB,TV,TRUE,client,NN,O,NOUN.PERSON,0 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes,NNS,O,OTHER,1 
2,system,NN,O,NOUN.GROUP,allow,VBP,PERMISSION,FALSE,user,NN,O,NOUN.PERSON,0 
2,monitoring,VBG,O,NOUN.ACT,change for,VB,TV,FALSE,operational devices,NNS,O,NOUN.COGNITION,0 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,monitoring of status,NN,O,NOUN.STATE,1 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,monitoring,NN,O,NOUN.ACT,1 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes of states,NNS,O,OTHER,1 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,local monitoring of status,NN,O,NOUN.STATE,1 
2,monitoring,VBG,O,NOUN.ACT,change of,VB,TV,FALSE,states,NNS,O,OTHER,0 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes of states for operational devices,NNS,O,NOUN.COGNITION,1 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes for devices,NNS,O,NOUN.COGNITION,1 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,local monitoring,NN,O,NOUN.ACT,1 
2,user,NN,PERSON,NOUN.PERSON,supervise,VB,TV,TRUE,changes for operational devices,NNS,O,NOUN.COGNITION,1 
