requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,system,NN,O,NON-PERSON,should allow,VB,TV,Y,capability,NN,O,TN ,0
1,capability,NN,O,NON-PERSON,restrict client to,TO,TV,Y,pre-determined set of service,NNS,O,TN ,0
1,capability,NN,O,NON-PERSON,restrict client to,TO,TV,Y,set of service,NNS,O,TN ,0
1,capability,NN,O,NON-PERSON,restrict,VB,TV,Y,authenticate client,NN,O,TN ,0
1,capability,NN,O,NON-PERSON,restrict client to,TO,TV,Y,pre-determined set,NN,O,TN ,0
1,capability,NN,O,NON-PERSON,restrict client to,TO,TV,Y,set,NN,O,TN ,0
1,capability,NN,O,NON-PERSON,restrict,VB,TV,Y,client,NN,O,TN ,0
2,user,NN,PERSON,PERSON,supervise,VB,TV,Y,change,NNS,O,TN ,1
2,system,NN,O,NON-PERSON,should allow,VB,TV,Y,user,NN,O,TN ,0
2,monitoring,NN,O,NON-PERSON,change for,IN,TV,Y,operational device,NNS,O,TN ,0
2,user,NN,PERSON,PERSON,supervise,VB,TV,Y,monitoring of status,NN,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,Y,monitoring,NN,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,Y,change of state,NNS,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,Y,local monitoring of status,NN,O,TN ,1
2,monitoring,NN,O,NON-PERSON,change of,IN,TV,Y,state,NNS,O,TN ,0
2,user,NN,PERSON,PERSON,supervise,VB,TV,Y,change of state for operational device,NNS,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,Y,change for device,NNS,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,Y,local monitoring,NN,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,Y,change for operational device,NNS,O,TN ,1
2,user,NN,PERSON,PERSON,supervise,VB,TV,Y,change of state for device,NNS,O,TN ,1
2,monitoring,NN,O,NON-PERSON,change for,IN,TV,Y,device,NNS,O,TN ,0
3,system,NN,O,NON-PERSON,should allow,VB,TV,Y,user,NN,O,TN ,0
3,user,NN,PERSON,PERSON,operate,VB,TV,Y,equipment,NN,O,TN ,1
