requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,driver,NN,TITLE,NON-PERSON,of,IN,OTHER,FALSE,smart card,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,FALSE,possible delivery of driver 's smart card to similar person,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,FALSE,possible delivery of driver 's smart card to person,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,FALSE,possible delivery of driver 's smart card,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,FALSE,possible delivery to person,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,FALSE,possible delivery of driver 's card to person,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,FALSE,possible delivery to similar person,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,FALSE,possible delivery of driver 's card,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send,VB,TV,FALSE,request,NNS,O,TN ,1
1,member,NN,PERSON,PERSON,send request about,IN,TV,FALSE,possible delivery of driver 's card to similar person,NN,O,TN ,0
1,system,NN,O,NON-PERSON,must allow,VB,TV,FALSE,member,NN,O,TN ,0
1,member,NN,PERSON,PERSON,send request about,IN,TV,FALSE,possible delivery,NN,O,TN ,0
1,system,NN,O,NON-PERSON,must allow,VB,TV,FALSE,member of network,NN,O,TN ,0
2,member,NN,PERSON,PERSON,send,VB,TV,FALSE,bulk request on all,DT,O,TN ,0
2,member,NN,PERSON,PERSON,send,VB,TV,FALSE,request on all,DT,O,TN ,1
2,driver,NN,TITLE,NON-PERSON,of,IN,OTHER,FALSE,smart cardholder,NNS,O,TN ,0
2,member,NN,PERSON,PERSON,send,VB,TV,FALSE,request,NN,O,TN ,1
2,member,NN,PERSON,PERSON,send,VB,TV,FALSE,bulk request,NN,O,TN ,1
2,system,NN,O,NON-PERSON,must allow,VB,TV,FALSE,member,NN,O,TN ,0
2,system,NN,O,NON-PERSON,must allow,VB,TV,FALSE,member of network,NN,O,TN ,0
3,member,NN,PERSON,PERSON,do,VB,TV,FALSE,statistics,NNS,O,TN ,1
3,member,NN,PERSON,PERSON,do,VB,TV,FALSE,statistics on message,NNS,O,TN ,1
3,system,NN,O,NON-PERSON,must allow,VB,TV,FALSE,member,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide reply through,IN,OTHER,FALSE,use,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide,VB,TV,FALSE,reply,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide,VB,TV,FALSE,automatic reply,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide reply through,IN,OTHER,FALSE,use of interface to member system,NNS,O,TN ,0
4,system,NN,O,NON-PERSON,must provide reply through,IN,OTHER,FALSE,use of standard interface,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide reply through,IN,OTHER,FALSE,use of interface,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide reply through,IN,OTHER,FALSE,use to member system,NNS,O,TN ,0
4,system,NN,O,NON-PERSON,must provide reply to,TO,OTHER,FALSE,sender of request,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide reply to,TO,OTHER,FALSE,sender,NN,O,TN ,0
4,system,NN,O,NON-PERSON,must provide reply through,IN,OTHER,FALSE,use of standard interface to member system,NNS,O,TN ,0
5,system,NN,O,NON-PERSON,must track workflow between,IN,OTHER,FALSE,sender,NNS,O,TN ,0
5,system,NN,O,NON-PERSON,must track,VB,TV,FALSE,workflow,NN,O,TN ,0
6,system,NN,O,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
