requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,system,NN,O,NOUN.GROUP,shall allow,VB,TV,FALSE,user,NN,O,NOUN.PERSON ,0
1,user,NN,PERSON,NOUN.PERSON,select,VB,TV,TRUE,product,NN,O,NOUN.ARTIFACT ,1
1,user,NN,PERSON,NOUN.PERSON,select product,NN,TV,FALSE,configure,VB,O,VERB.CREATION ,0
2,system,NN,O,NOUN.GROUP,shall display,VB,TV,FALSE,available component of product,NN,O,NOUN.ARTIFACT ,0
3,system,NN,O,NOUN.GROUP,shall enable,VB,TV,FALSE,user,NN,O,NOUN.PERSON ,0
4,system,NN,O,NOUN.GROUP,shall notify user about,IN,OTHER,FALSE,conflict in current configuration,NN,O,NOUN.COGNITION ,0
5,system,NN,O,NOUN.GROUP,shall allow,VB,TV,FALSE,user,NN,O,NOUN.PERSON ,0
5,user,NN,PERSON,NOUN.PERSON,update,VB,TV,FALSE,configuration,NN,O,NOUN.COGNITION ,1
5,conflict,NN,O,NOUN.ACT,be in,IN,TV,FALSE,current configuration,NN,O,NOUN.COGNITION ,0
6,system,NN,O,NOUN.GROUP,shall allow,VB,TV,FALSE,user,NN,O,NOUN.PERSON ,0
6,user,NN,PERSON,NOUN.PERSON,confirm,VB,TV,TRUE,completion of current configuration,NN,O,NOUN.COGNITION ,1
6,user,NN,PERSON,NOUN.PERSON,confirm,VB,TV,TRUE,completion,NN,O,NOUN.ACT ,1
6,user,NN,PERSON,NOUN.PERSON,confirm,VB,TV,TRUE,completion of configuration,NN,O,NOUN.COGNITION ,1
7,system,NN,O,NOUN.GROUP,shall display,VB,TV,FALSE,detailed product categorization,NN,O,NOUN.GROUP ,0
7,system,NN,O,NOUN.GROUP,shall display,VB,TV,FALSE,product categorization,NN,O,NOUN.GROUP ,0
7,system,NN,O,NOUN.GROUP,shall display product categorization to,TO,OTHER,FALSE,user,NN,O,NOUN.PERSON ,0
8,system,NN,O,NOUN.GROUP,shall enable,VB,TV,FALSE,user,NN,O,NOUN.PERSON ,0
8,user,NN,PERSON,NOUN.PERSON,enter,VB,TV,FALSE,search text,NN,O,NOUN.COMMUNICATION ,1
8,user,NN,PERSON,NOUN.PERSON,enter search text on,IN,TV,FALSE,screen,NN,O,NOUN.ARTIFACT ,0
9,user,NN,PERSON,NOUN.PERSON,select,VB,TV,TRUE,option on screen,NN,O,NOUN.ARTIFACT ,1
9,system,NN,O,NOUN.GROUP,shall enable,VB,TV,FALSE,user,NN,O,NOUN.PERSON ,0
9,user,NN,PERSON,NOUN.PERSON,select option,NNS,TV,FALSE,search,VB,O,NOUN.ACT ,0
9,user,NN,PERSON,NOUN.PERSON,select,VB,TV,TRUE,multiple option on screen,NN,O,NOUN.ARTIFACT ,1
9,user,NN,PERSON,NOUN.PERSON,select,VB,TV,TRUE,multiple option,NNS,O,NOUN.POSSESSION ,1
9,user,NN,PERSON,NOUN.PERSON,select,VB,TV,TRUE,option,NNS,O,NOUN.POSSESSION ,1
11,system,NN,O,NOUN.GROUP,shall display,VB,TV,FALSE,only 10 matching result,NN,O,NOUN.PHENOMENON ,0
11,system,NN,O,NOUN.GROUP,shall display,VB,TV,FALSE,only 10 result,NN,O,NOUN.PHENOMENON ,0
12,system,NN,O,NOUN.GROUP,shall enable,VB,TV,FALSE,navigate between search,NN,O,NOUN.ACT ,0
12,system,NN,O,NOUN.GROUP,shall enable,VB,TV,FALSE,user,NN,O,NOUN.PERSON ,0
12,system,NN,O,NOUN.GROUP,shall enable,VB,TV,FALSE,navigate,VB,O,VERB.MOTION ,0
12,user,NN,PERSON,NOUN.PERSON,navigate between,IN,TV,FALSE,search,NN,O,NOUN.ACT ,1
14,system,NN,O,NOUN.GROUP,shall allow,VB,TV,FALSE,user,NN,O,NOUN.PERSON ,0
14,user,NN,PERSON,NOUN.PERSON,create,VB,TV,TRUE,profile,NN,O,NOUN.COMMUNICATION ,1
