requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,driver,NN,PERSON,NOUN.PERSON,of,IN,OTHER,FALSE,smart card,NN,O,NOUN.POSSESSION ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,TV,FALSE,possible delivery of driver 's smart card to similar person,NN,O,NOUN.TOPS ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,TV,FALSE,possible delivery of driver 's smart card to person,NN,O,NOUN.TOPS ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,TV,FALSE,possible delivery of driver 's smart card,NN,O,NOUN.PERSON ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,TV,FALSE,possible delivery to person,NN,O,NOUN.TOPS ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,TV,FALSE,possible delivery of driver 's card to person,NN,O,NOUN.TOPS ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,TV,FALSE,possible delivery to similar person,NN,O,NOUN.TOPS ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,TV,FALSE,possible delivery of driver 's card,NN,O,NOUN.PERSON ,0
1,member,NN,PERSON,NOUN.PERSON,send,VB,TV,FALSE,request,NNS,O,NOUN.COMMUNICATION ,1
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,TV,FALSE,possible delivery of driver 's card to similar person,NN,O,NOUN.TOPS ,0
1,system,NN,O,NOUN.GROUP,must allow,VB,TV,FALSE,member,NN,O,NOUN.PERSON ,0
1,member,NN,PERSON,NOUN.PERSON,send request about,IN,TV,FALSE,possible delivery,NN,O,NOUN.ACT ,0
1,system,NN,O,NOUN.GROUP,must allow,VB,TV,FALSE,member of network,NN,O,NOUN.GROUP ,0
2,member,NN,PERSON,NOUN.PERSON,send,VB,TV,FALSE,bulk request on all,DT,O,NOUN.ATTRIBUTE ,1
2,member,NN,PERSON,NOUN.PERSON,send,VB,TV,FALSE,request on all,DT,O,NOUN.COMMUNICATION ,1
2,driver,NN,PERSON,NOUN.PERSON,of,IN,OTHER,FALSE,smart cardholder,NNS,O,NOUN.PERSON ,0
2,member,NN,PERSON,NOUN.PERSON,send,VB,TV,FALSE,request,NN,O,NOUN.COMMUNICATION ,1
2,member,NN,PERSON,NOUN.PERSON,send,VB,TV,FALSE,bulk request,NN,O,NOUN.COMMUNICATION ,1
2,system,NN,O,NOUN.GROUP,must allow,VB,TV,FALSE,member,NN,O,NOUN.PERSON ,0
2,system,NN,O,NOUN.GROUP,must allow,VB,TV,FALSE,member of network,NN,O,NOUN.GROUP ,0
3,member,NN,PERSON,NOUN.PERSON,do,VB,TV,FALSE,statistics,NNS,O,NOUN.COGNITION ,1
3,member,NN,PERSON,NOUN.PERSON,do,VB,TV,FALSE,statistics on message,NNS,O,NOUN.COMMUNICATION ,1
3,system,NN,O,NOUN.GROUP,must allow,VB,TV,FALSE,member,NN,O,NOUN.PERSON ,0
4,system,NN,O,NOUN.GROUP,must provide reply through,IN,OTHER,FALSE,use,NN,O,NOUN.ACT ,0
4,system,NN,O,NOUN.GROUP,must provide,VB,TV,FALSE,reply,NN,O,NOUN.COMMUNICATION ,0
4,system,NN,O,NOUN.GROUP,must provide,VB,TV,FALSE,automatic reply,NN,O,NOUN.COMMUNICATION ,0
4,system,NN,O,NOUN.GROUP,must provide reply through,IN,OTHER,FALSE,use of interface to member system,NNS,O,NOUN.GROUP ,0
4,system,NN,O,NOUN.GROUP,must provide reply through,IN,OTHER,FALSE,use of standard interface,NN,O,NOUN.ARTIFACT ,0
4,system,NN,O,NOUN.GROUP,must provide reply through,IN,OTHER,FALSE,use of interface,NN,O,NOUN.ARTIFACT ,0
4,system,NN,O,NOUN.GROUP,must provide reply through,IN,OTHER,FALSE,use to member system,NNS,O,NOUN.GROUP ,0
4,system,NN,O,NOUN.GROUP,must provide reply to,TO,OTHER,FALSE,sender of request,NN,O,NOUN.COMMUNICATION ,0
4,system,NN,O,NOUN.GROUP,must provide reply to,TO,OTHER,FALSE,sender,NN,O,NOUN.PERSON ,0
4,system,NN,O,NOUN.GROUP,must provide reply through,IN,OTHER,FALSE,use of standard interface to member system,NNS,O,NOUN.GROUP ,0
5,system,NN,O,NOUN.GROUP,must track workflow between,IN,OTHER,FALSE,sender,NNS,O,NOUN.PERSON ,0
5,system,NN,O,NOUN.GROUP,must track,VB,TV,FALSE,workflow,NN,O,NOUN.ACT ,0
6,system,NN,O,NOUN.GROUP,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
7,statistics,NNS,O,NOUN.COGNITION,delay of,IN,TV,FALSE,reply,NN,O,NOUN.COMMUNICATION ,0
7,administrator,NN,PERSON,NOUN.PERSON,extract,NN,TV,TRUE,statistics,NNS,O,NOUN.COGNITION ,0
7,statistics,NNS,O,NOUN.COGNITION,percentage of,IN,OTHER,FALSE,transaction,NN,O,NOUN.ACT ,0
7,administrator,NN,PERSON,NOUN.PERSON,extract,NN,TV,TRUE,statistics of use,NN,O,NOUN.ACT ,0
