requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,UIC,NNP,ORGANIZATION,OTHER,support,VB,TV,FALSE,Cab radio service,NNS,O,NOUN.PERSON ,0
1,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
2,UIC,NNP,ORGANIZATION,OTHER,support,VB,TV,FALSE,driver call-related service,NNS,O,NOUN.PERSON ,0
2,UIC,NNP,ORGANIZATION,OTHER,support,VB,TV,FALSE,driver service,NNS,O,NOUN.PERSON ,0
2,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
3,driver,NN,PERSON,NOUN.PERSON,control,VB,TV,FALSE,call,NNS,O,NOUN.COMMUNICATION ,1
3,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
3,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
4,driver,NN,PERSON,NOUN.PERSON,call,VB,TV,FALSE,other driver in area,NN,O,NOUN.LOCATION ,1
4,driver,NN,PERSON,NOUN.PERSON,call,VB,TV,FALSE,other driver,NNS,O,NOUN.PERSON ,1
4,driver,NN,PERSON,NOUN.PERSON,call,VB,TV,FALSE,driver in area,NN,O,NOUN.LOCATION ,1
4,driver,NN,PERSON,NOUN.PERSON,call,VB,TV,FALSE,driver,NNS,O,NOUN.PERSON ,1
4,other driver,NNS,PERSON,NOUN.PERSON,be in,IN,TV,FALSE,area,NN,O,NOUN.LOCATION ,0
4,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
4,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
5,driver,NN,PERSON,NOUN.PERSON,send,VB,TV,FALSE,railway emergency call,NN,O,NOUN.COMMUNICATION ,1
5,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
5,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
6,driver,NN,PERSON,NOUN.PERSON,confirm,VB,TV,TRUE,receipt of railway emergency call,NN,O,NOUN.COMMUNICATION ,1
6,driver,NN,PERSON,NOUN.PERSON,confirm,VB,TV,TRUE,receipt,NN,O,NOUN.ACT ,1
6,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,driver,NN,TITLE,NOUN.PERSON ,0
6,UIC,NNP,ORGANIZATION,OTHER,must,MD,OTHER,FALSE,must able,JJ,O,NOUN.OBJECT ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,communicate with driver on same train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,communicate with other driver on same train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,communicate with other driver on train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,0
7,driver,NN,PERSON,NOUN.PERSON,communicate with,IN,TV,FALSE,driver,NNS,O,NOUN.PERSON ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,communicate with driver on train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,communicate,VB,O,VERB.COMMUNICATION ,0
7,driver,NN,PERSON,NOUN.PERSON,communicate on,IN,TV,FALSE,train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,communicate on train,NN,CRIMINAL_CHARGE,NOUN.ARTIFACT ,0
7,driver,NN,PERSON,NOUN.PERSON,communicate with,IN,TV,FALSE,other driver,NNS,O,NOUN.PERSON ,0
7,UIC,NNP,ORGANIZATION,OTHER,allow,VB,TV,FALSE,communicate with other driver,NNS,O,NOUN.PERSON ,0
