requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,user,NN,PERSON,NOUN.PERSON,apply through,VB,TV,TRUE,web portal,NN,O,NOUN.ARTIFACT ,1
1,user,NN,PERSON,NOUN.PERSON,apply directly for,VB,TV,TRUE,account,NN,O,NOUN.STATE ,1
1,user,NN,PERSON,NOUN.PERSON,apply for,VB,TV,TRUE,account,NN,O,NOUN.STATE ,1
1,user,NN,PERSON,NOUN.PERSON,apply directly through,VB,TV,TRUE,web portal,NN,O,NOUN.ARTIFACT ,1
2,user,NN,PERSON,NOUN.PERSON,enter,VBP,TV,FALSE,required fields,NNS,O,NOUN.PERSON ,1
3,user,NN,PERSON,NOUN.PERSON,enter,VBP,TV,FALSE,their NCAR Gatekeeper username,NN,O,OTHER ,1
4,user,NN,PERSON,NOUN.PERSON,view,NN,TV,FALSE,their account details,NNS,O,NOUN.COMMUNICATION ,1
4,user,NN,PERSON,NOUN.PERSON,view,NN,TV,FALSE,their current account details,NNS,O,NOUN.COMMUNICATION ,1
9,user account,NN,O,NOUN.STATE,be delete from,IN,OTHER,FALSE,system,NN,O,NOUN.GROUP ,0
9,user account,NN,O,NOUN.STATE,be,VB,IS-A,FALSE,deleted,VBN,O,OTHER ,0
9,system,NN,O,NOUN.GROUP,provide,VBP,TV,TRUE,means request,NN,O,NOUN.COMMUNICATION ,0
10,system,NN,O,NOUN.GROUP,notify,VBP,TV,TRUE,admin,NN,O,OTHER ,0
10,system,NN,O,NOUN.GROUP,notify,VBP,TV,TRUE,portal admin,NN,O,NOUN.ARTIFACT ,0
10,system,NN,O,NOUN.GROUP,notify admin about,IN,OTHER,FALSE,delete requests,NNS,O,OTHER ,0
10,system,NN,O,NOUN.GROUP,notify admin about,IN,OTHER,FALSE,requests,NNS,O,OTHER ,0
11,user,NN,PERSON,NOUN.PERSON,enter password to,TO,OTHER,FALSE,login,NN,O,OTHER ,0
11,user,NN,PERSON,NOUN.PERSON,enter password to,TO,OTHER,FALSE,login to system,NN,O,NOUN.GROUP ,0
11,user,NN,PERSON,NOUN.PERSON,enter,VBP,TV,FALSE,password,NN,O,NOUN.COMMUNICATION ,1
11,system,NN,O,NOUN.GROUP,require,VBP,TV,TRUE,user,NN,O,NOUN.PERSON ,0
11,user,NN,PERSON,NOUN.PERSON,enter,VBP,TV,FALSE,their username,NN,O,OTHER ,1
12,user,NN,PERSON,NOUN.PERSON,shall,MD,AUXILIARY,FALSE,shall prompted at beginning for their credentials,NNS,O,NOUN.COMMUNICATION ,0
12,user,NN,PERSON,NOUN.PERSON,shall,MD,AUXILIARY,FALSE,shall prompted at beginning of session,NN,O,NOUN.COMMUNICATION ,0
12,user,NN,PERSON,NOUN.PERSON,shall,MD,AUXILIARY,FALSE,shall prompted,VBD,O,OTHER ,0
12,user,NN,PERSON,NOUN.PERSON,shall,MD,AUXILIARY,FALSE,shall prompted at beginning,VBG,O,NOUN.EVENT ,0
