requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,UIC,NNP,ORGANIZATION,NON-PERSON,support,VB,TV,FALSE,Cab radio service,NNS,O,TN ,0
1,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
2,UIC,NNP,ORGANIZATION,NON-PERSON,support,VB,TV,FALSE,driver call-related service,NNS,O,TN ,0
2,UIC,NNP,ORGANIZATION,NON-PERSON,support,VB,TV,FALSE,driver service,NNS,O,TN ,0
2,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
3,driver,NN,TITLE,PERSON,control,VB,TV,FALSE,call,NNS,O,TN ,1
3,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
3,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
4,driver,NN,TITLE,PERSON,call,VB,TV,FALSE,other driver in area,NN,O,TN ,1
4,driver,NN,TITLE,PERSON,call,VB,TV,FALSE,other driver,NNS,O,TN ,1
4,driver,NN,TITLE,PERSON,call,VB,TV,FALSE,driver in area,NN,O,TN ,1
4,driver,NN,TITLE,PERSON,call,VB,TV,FALSE,driver,NNS,O,TN ,1
4,other driver,NNS,O,PERSON,be in,IN,TV,FALSE,area,NN,O,TN ,1
4,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
4,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
5,driver,NN,TITLE,PERSON,send,VB,TV,FALSE,railway emergency call,NN,O,TN ,1
5,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
5,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
6,driver,NN,TITLE,PERSON,confirm,VB,TV,TRUE,receipt of railway emergency call,NN,O,TN ,1
6,driver,NN,TITLE,PERSON,confirm,VB,TV,TRUE,receipt,NN,O,TN ,1
6,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
6,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
7,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,communicate with driver on same train,NN,CRIMINAL_CHARGE,TN ,0
7,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,communicate with other driver on same train,NN,CRIMINAL_CHARGE,TN ,0
7,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,communicate with other driver on train,NN,CRIMINAL_CHARGE,TN ,0
7,driver,NN,TITLE,PERSON,communicate with,IN,TV,FALSE,driver,NNS,O,TN ,1
7,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,communicate with driver on train,NN,CRIMINAL_CHARGE,TN ,0
7,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,communicate,VB,O,TV ,0
7,driver,NN,TITLE,PERSON,communicate on,IN,TV,FALSE,train,NN,CRIMINAL_CHARGE,TN ,1
7,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,communicate on train,NN,CRIMINAL_CHARGE,TN ,0
7,driver,NN,TITLE,PERSON,communicate with,IN,TV,FALSE,other driver,NNS,O,TN ,1
7,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,communicate with other driver,NNS,O,TN ,0
7,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
7,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,communicate with driver,NNS,O,TN ,0
7,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
7,driver,NN,TITLE,PERSON,communicate on,IN,TV,FALSE,same train,NN,CRIMINAL_CHARGE,TN ,1
7,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,communicate on same train,NN,CRIMINAL_CHARGE,TN ,0
8,driver,NN,TITLE,PERSON,call,VB,TV,FALSE,train staff,NN,O,TN ,1
8,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
8,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
9,driver,NN,TITLE,PERSON,call,VB,TV,FALSE,other authorize user,NNS,O,TN ,1
9,driver,NN,TITLE,PERSON,call,VB,TV,FALSE,authorize user,NNS,O,TN ,1
9,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
9,driver,NN,TITLE,PERSON,call,VB,TV,FALSE,user,NNS,O,TN ,1
9,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
9,driver,NN,TITLE,PERSON,call,VB,TV,FALSE,other user,NNS,O,TN ,1
10,driver,NN,TITLE,PERSON,receive,VB,TV,TRUE,incoming voice call,NNS,O,TN ,1
10,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
10,driver,NN,TITLE,PERSON,receive,VB,TV,TRUE,voice call,NNS,O,TN ,1
10,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
11,driver,NN,TITLE,PERSON,terminate,VB,TV,TRUE,call,NNS,O,TN ,1
11,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
11,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
12,driver,NN,TITLE,PERSON,receive,VB,TV,TRUE,text message,NNS,O,TN ,1
12,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
12,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
13,driver,NN,TITLE,PERSON,enter/leave,VB,OTHER,FALSE,shunting mode,NN,O,TN ,1
13,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
13,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
14,driver,NN,TITLE,PERSON,enter/leave,VB,OTHER,FALSE,direct mode,NN,O,TN ,1
14,driver,NN,TITLE,PERSON,enter/leave,VB,OTHER,FALSE,mode,NN,O,TN ,1
14,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
14,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
15,driver,NN,TITLE,PERSON,monitor,VB,TV,FALSE,call to other users/devices,NNS,O,TN ,0
15,driver,NN,TITLE,PERSON,monitor,VB,TV,FALSE,call to other on-train users/devices,NNS,O,TN ,0
15,driver,NN,TITLE,PERSON,monitor,VB,TV,FALSE,call to users/devices,NNS,O,TN ,0
15,driver,NN,TITLE,PERSON,monitor,VB,TV,FALSE,call,NNS,O,TN ,1
15,driver,NN,TITLE,PERSON,monitor,VB,TV,FALSE,call to on-train users/devices,NNS,O,TN ,0
15,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
15,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,allow to,TO,TV,FALSE,forward calls/cancel call forwarding to/from driver handheld,JJ,O,TN ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,allow driver to,TO,TV,FALSE,forward calls/cancel call forwarding to/from driver handheld,JJ,O,TN ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,allow to,TO,TV,FALSE,forward calls/cancel call forwarding to/from driver,NN,TITLE,TN ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,allow driver to,TO,TV,FALSE,call forwarding to/from driver,NN,TITLE,TN ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,allow driver to,TO,TV,FALSE,calls/cancel call forwarding to/from driver,NN,TITLE,TN ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,allow driver to,TO,TV,FALSE,forward calls/cancel call forwarding to/from driver,NN,TITLE,TN ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,allow to,TO,TV,FALSE,call forwarding to/from driver,NN,TITLE,TN ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,allow to,TO,TV,FALSE,calls/cancel call forwarding to/from driver,NN,TITLE,TN ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,allow to,TO,TV,FALSE,call forwarding to/from driver handheld,JJ,O,TN ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,allow driver to,TO,TV,FALSE,call forwarding to/from driver handheld,JJ,O,TN ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,allow to,TO,TV,FALSE,calls/cancel call forwarding to/from driver handheld,JJ,O,OTHER ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,allow,VB,TV,FALSE,driver,NN,TITLE,TN ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,must,MD,TN,FALSE,must able,JJ,O,TN ,0
16,UIC,NNP,ORGANIZATION,NON-PERSON,allow driver to,TO,TV,FALSE,calls/cancel call forwarding to/from driver handheld,JJ,O,OTHER ,0
