subject,s-tag,s-ner,s-type,verb,v-tag,v-cat,v-extractUseCase,object,o-tag,o-ner,o-type,label
driver,NN,PERSON,NOUN_PERSON,of,IN,OTHER,FALSE,smart card,NN,O,NOUN_POSSESSION,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,member,NN,O,NOUN_PERSON,NONE
member,NN,PERSON,NOUN_PERSON,transport,VB,TV,TRUE,requests,NNS,O,OTHER,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,member of network,NN,O,NOUN_GROUP,NONE
member,NN,PERSON,NOUN_PERSON,transport,VB,TV,TRUE,request on all,DT,O,NOUN_COMMUNICATION,NONE
member,NN,PERSON,NOUN_PERSON,transport,VB,TV,TRUE,request,NN,O,NOUN_COMMUNICATION,NONE
member,NN,PERSON,NOUN_PERSON,transport,VB,TV,TRUE,bulk request on all,DT,O,NOUN_ATTRIBUTE,NONE
driver,NN,PERSON,NOUN_PERSON,of,IN,OTHER,FALSE,smart cardholders,NNS,O,NOUN_STATE,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,member,NN,O,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,member of network,NN,O,NOUN_GROUP,NONE
member,NN,PERSON,NOUN_PERSON,transport,VB,TV,TRUE,bulk request,NN,O,NOUN_COMMUNICATION,NONE
member,NN,PERSON,NOUN_PERSON,execute,VB,TV,TRUE,statistics,NNS,O,NOUN_COGNITION,NONE
member,NN,PERSON,NOUN_PERSON,execute,VB,TV,TRUE,statistics on messages,NNS,O,NOUN_COGNITION,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,member,NN,O,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,provide reply through,VBP,TV,TRUE,use,NN,O,NOUN_ACT,NONE
system,NN,O,NOUN_GROUP,provide,VBP,TV,TRUE,reply,NN,O,NOUN_COMMUNICATION,NONE
system,NN,O,NOUN_GROUP,provide,VBP,TV,TRUE,automatic reply,NN,O,NOUN_COMMUNICATION,NONE
system,NN,O,NOUN_GROUP,provide reply through,VBP,TV,TRUE,use of interface to Members systems,NNS,O,NOUN_ACT,NONE
system,NN,O,NOUN_GROUP,provide reply through,VBP,TV,TRUE,use of standard interface,NN,O,NOUN_ARTIFACT,NONE
system,NN,O,NOUN_GROUP,provide reply through,VBP,TV,TRUE,use of interface,NN,O,NOUN_ARTIFACT,NONE
system,NN,O,NOUN_GROUP,provide reply through,VBP,TV,TRUE,use to Members systems,NNS,O,NOUN_ACT,NONE
system,NN,O,NOUN_GROUP,provide reply to,VBP,TV,TRUE,sender of request,NN,O,NOUN_COMMUNICATION,NONE
system,NN,O,NOUN_GROUP,provide reply to,VBP,TV,TRUE,sender,NN,O,NOUN_PERSON,NONE
system,NN,O,NOUN_GROUP,provide reply through,VBP,TV,TRUE,use of standard interface to Members systems,NNS,O,NOUN_ACT,NONE
system,NN,O,NOUN_GROUP,track workflow between,VB,TV,FALSE,senders,NNS,O,OTHER,NONE
system,NN,O,NOUN_GROUP,track,VB,TV,FALSE,workflow,NN,O,NOUN_ACT,NONE
system,NN,O,NOUN_GROUP,must,MD,AUXILIARY,FALSE,must able,JJ,O,NOUN_OBJECT,NONE
statistics,NNS,O,NOUN_COGNITION,delay of,VBP,TV,FALSE,reply,NN,O,NOUN_COMMUNICATION,NONE
administrator,NN,PERSON,NOUN_PERSON,extract,VB,TV,TRUE,statistics,NNS,O,NOUN_COGNITION,NONE
statistics,NNS,O,NOUN_COGNITION,percentage of,NN,OTHER,FALSE,transaction,NN,O,NOUN_ACT,NONE
administrator,NN,PERSON,NOUN_PERSON,extract,VB,TV,TRUE,statistics of use,NN,O,NOUN_ACT,NONE
system,NN,O,NOUN_GROUP,allow,VBP,PERMISSION,FALSE,administrator,NN,TITLE,NOUN_PERSON,NONE
statistics,NNS,O,NOUN_COGNITION,percentage of,NN,OTHER,FALSE,unsuccessful transaction,NN,O,NOUN_ACT,NONE
statistics,NNS,O,NOUN_COGNITION,delay by,VBP,TV,FALSE,member/period,NN,O,OTHER,NONE
statistics,NNS,O,NOUN_COGNITION,standard delay of,JJ,OTHER,FALSE,reply,NN,O,NOUN_COMMUNICATION,NONE
statistics,NNS,O,NOUN_COGNITION,standard delay by,JJ,OTHER,FALSE,member/period,NN,O,OTHER,NONE
system,NN,O,NOUN_GROUP,provide,VB,TV,TRUE,management of user rights,NNS,O,NOUN_ACT,NONE
